stopid,TimeFall,TimeSpring
Kelly School,35.9904,35.0719
Foster,36.3353,35.3964
3rd & Jordan,40.4445,38.6604
Jordan Hall,43.6364,43.023
Neal Marshal,38.7467,36.2977
Well's Library,43.0589,41.3106
Alumni Center,20.0262,18.92
McNutt,42.7114,42.0508
Briscoe,31.6891,33.2567
10th & Woodlawn,51.8279,49.6539
Assembly Hall(),19.0535,17.6711
Psychology,31.5946,29.3877
Kelly School(),35.975,36.1914
Kirkwood & Indiana,40.9734,39.3869
IMU,48.9644,45.6022
Briscoe(),27.3791,27.3332
Stadium(A),52.5143,17.6033
Maurer School of Law,42.5148,42.6234